Claim Number,Restaurant Name,Borough Code,Address1,ZIPCODE,GRADE
41600522,LUIGI PIZZERIA & RISTORANTE,Manhattan,1 AVENUE,10128,A
41647176,JAIYA THAI ORIENTAL RESTAURANT,Manhattan,2 AVENUE,10028,A
50063851,AUTHENTIC NYC STREET FOOD,Manhattan,WEST   46 STREET,10036,P
50057482,KORONI SOUVLAKI AND GRILL,Queens,NEWTOWN AVE,11102,A
41128554,LA NONNA,Manhattan,MULBERRY STREET,10013,A
50113139,98K,Brooklyn,BAY   25 STREET,11214,N
50067656,FITOOR,Queens,UNION TPKE,11366,B
50054760,OLD LUO YANG,Queens,ROOSEVELT AVENUE,11354,A
40546350,SWEET CHEF SOUTHERN STYLES BAKERY,Manhattan,HAMILTON PLACE,10031,A
50082264,LAO MA SPICY,Manhattan,EAST    8 STREET,10003,P
50058810,GRAND SLAM BANQUET HALL,Manhattan,BROADWAY,10031,A
50066944,TACOS EL TORITO VERSATILE,Bronx,MELROSE AVENUE,10455,B
41252384,ROYAL BANGLADESH INDIAN RESTAURANT,Manhattan,1 AVENUE,10003,P
41014554,STARBUCKS,Manhattan,COLUMBUS CIRCLE,10019,A
50005654,ALLERTON RESTAURANT,Bronx,ALLERTON AVENUE,10467,A
50015094,PLENTY'S PARADISE,Brooklyn,ROGERS AVENUE,11226,A
50010210,HARU,Manhattan,WEST   43 STREET,10036,A
50052545,MING GARDEN CHINESE,Queens,KISSENA BLVD,11367,B
50099264,MANGIA,Staten Island,AMBOY ROAD,10307,B
41403291,ARDESIA,Manhattan,WEST   52 STREET,10019,A
50058548,GINO'S PIZZERIA,Staten Island,ROSSVILLE AVENUE,10309,A
50060858,SISTER JANE,Manhattan,EAST   13 STREET,10003,B
50018121,RANCH RESTAURANT,Bronx,SOUTHERN BOULEVARD,10460,B
50079510,BURGER KING,Bronx,WESTCHESTER AVENUE,10461,A
50066644,BITE,Manhattan,LAFAYETTE STREET,10012,B
41441326,KEG AND LANTERN TAVERN,Brooklyn,NASSAU AVENUE,11222,B
50079828,"JUICE PRESS (EQUINOX, west 60th street)",Manhattan,COLUMBUS CIRCLE,10019,A
41671751,GULSHAN TERRACE,Queens,37 AVENUE,11377,A
41220219,NEW PEKING RESTAURANT,Bronx,EAST  183 STREET,10453,A
50016605,KAVKAZKIY DVORIK,Brooklyn,AVENUE U,11229,B
41704296,MIGHTY QUINN'S,Manhattan,2 AVENUE,10003,P
50073175,SING LONG ZHU KITCHEN,Bronx,WHITE PLAINS ROAD,10467,A
40647906,TERRACE ON THE PARK,Queens,111 STREET,11368,B
41450971,GIOVANNI'S RESTAURANT,Bronx,WESTCHESTER AVENUE,10461,A
50074039,BAGEL HOUSE,Queens,NORTHERN BLVD,11372,A
50070658,ROMA BAGELS AND PASTRY CAFE,Queens,FRANCIS LEWIS BLVD,11358,A
41597456,JOE'S SICILIAN BAKERY,Queens,48 AVENUE,11364,A
50077876,YURA,Manhattan,EAST  103 STREET,10029,A
41520610,BAREBURGER,Manhattan,LAGUARDIA PLACE,10012,C
50054686,PHO SHOP,Manhattan,1 AVENUE,10128,B
50037621,HUNTER BAR 888,Brooklyn,8 AVENUE,11220,A
50088630,TIA DELI JUICE,Bronx,EAST  167 STREET,10459,A
50095043,PENELOPE,Manhattan,LEXINGTON AVENUE,10016,Z
41545595,ATERA,Manhattan,WORTH STREET,10013,A
50079401,JALSA GRILL & GRAVY,Brooklyn,CONEY ISLAND AVENUE,11230,B
50061303,MIGHTY BOWL,Manhattan,2 AVENUE,10017,C
50068366,EL AMBIENTE,Brooklyn,FULTON STREET,11207,B
